Component,Priority,HealthCheck,HMProtocol
SessionServer,100,,
CentralServer,90,/CentralServer/UsersService.svc,http
FeedersServer,80,,
QuotesServer,70,,
RegAdmin,0,/RegAdmin,http
EndOfDayExecuter,0,,
EntryOrdersExecuter1,0,,
EntryOrdersExecuter2,0,,
LiquidationExecuter1,0,,
LiquidationExecuter2,0,,
LiquidationExecuter3,0,,
LiquidationExecuter4,0,,
ActivitiesService,0,,
AssignmentsServer,0,,
MarketingRulesExecuter,0,,
ThirdPartySyncService,0,,
NotificationServices,0,,
TradeClearingServer,0,,
TradeServer,0,/TradeServer/TradeService.svc,http
MobileServer,0,/MobileServer/MobileConfigurationService.svc,http
WebProfitSite,0,/webprofitsite/HealthCheck,http
WebProfitServer,0,/WebProfitServer/AccountStatesService.svc,http
DataServer,0,/DataServer/DealingReportsService.svc,http
DataServerWithoutDealingReports,0,/DataServer/ClientService.svc,http
QuotesBox,0,/QuotesBox/quotes/GetQuotesBySymbols?languageCode=en-US&symbols=EURUSD,http
TradingInsiderSite,0,/TradingInsiderSite/Content/Images/logo.png,http
PBXServer,0,,